party,state,percentage_2014,percentage_2019,percentage_difference
INC,"Andaman & Nicobar Islands",0.0160,0.0155,-0.0005
CPI(ML)(L),"Andhra Pradesh",0.0013,0.0007,-0.0006
KS,Bihar,0.0006,0.0000,-0.0006
NaLP,Bihar,0.0006,0.0000,-0.0006
JHP,Bihar,0.0028,0.0022,-0.0006
NTP,Bihar,0.0006,0.0000,-0.0006
NLP,Bihar,0.0006,0.0000,-0.0006
SJP(R),Goa,0.0006,0.0000,-0.0006
VHS,Gujarat,0.0006,0.0000,-0.0006
JM,Haryana,0.0006,0.0000,-0.0006
ASP,"Jammu & Kashmir",0.0006,0.0000,-0.0006
BHPP,Karnataka,0.0008,0.0003,-0.0006
LSP,Karnataka,0.0006,0.0000,-0.0006
RPI(KH),"Madhya Pradesh",0.0006,0.0000,-0.0006
HJP,Maharashtra,0.0015,0.0009,-0.0006
RSSDP,Maharashtra,0.0006,0.0000,-0.0006
HND,Maharashtra,0.0009,0.0003,-0.0006
NOTA,Manipur,0.0014,0.0009,-0.0006
NBDP,Punjab,0.0006,0.0000,-0.0006
BhJaSP,Punjab,0.0006,0.0000,-0.0006
aicp,Punjab,0.0006,0.0000,-0.0006
PRCP,Rajasthan,0.0010,0.0005,-0.0006
SUCI,"Tamil Nadu",0.0006,0.0000,-0.0006
ICSP,"Tamil Nadu",0.0006,0.0000,-0.0006
BaVaP,"Uttar Pradesh",0.0008,0.0002,-0.0006
SHS,"Uttar Pradesh",0.0054,0.0047,-0.0006
GaAP,"Uttar Pradesh",0.0006,0.0000,-0.0006
BRABSVP,"Uttar Pradesh",0.0006,0.0000,-0.0006
SaSaP,"Uttar Pradesh",0.0010,0.0004,-0.0006
ESKP,"Uttar Pradesh",0.0006,0.0000,-0.0006
RaAD,"Uttar Pradesh",0.0008,0.0002,-0.0006
shsap,"Uttar Pradesh",0.0006,0.0000,-0.0006
HKRD,"West Bengal",0.0006,0.0000,-0.0006
AIMF,Jharkhand,0.0006,0.0000,-0.0006
pms,Jharkhand,0.0006,0.0000,-0.0006
AGRJP,"NCT OF Delhi",0.0006,0.0000,-0.0006
RJD,"Andhra Pradesh",0.0007,0.0000,-0.0007
MCPI,"Andhra Pradesh",0.0008,0.0001,-0.0007
JD(U),"Andhra Pradesh",0.0007,0.0000,-0.0007
RDHP,"Andhra Pradesh",0.0008,0.0001,-0.0007
HJP,"Andhra Pradesh",0.0007,0.0000,-0.0007
AAAP,"Arunachal Pradesh",0.0007,0.0000,-0.0007
JDP,Bihar,0.0007,0.0000,-0.0007
YuS,Gujarat,0.0009,0.0002,-0.0007
BBC,Gujarat,0.0007,0.0001,-0.0007
BSCP,Haryana,0.0014,0.0007,-0.0007
BhSMP,Haryana,0.0007,0.0000,-0.0007
SJPA,Karnataka,0.0030,0.0023,-0.0007
WPOI,Karnataka,0.0007,0.0000,-0.0007
JVBP,Karnataka,0.0008,0.0001,-0.0007
GaAP,Karnataka,0.0007,0.0001,-0.0007
JD(U),Kerala,0.0007,0.0000,-0.0007
BMSM,"Madhya Pradesh",0.0007,0.0000,-0.0007
AwVP,Maharashtra,0.0007,0.0000,-0.0007
MVA,Maharashtra,0.0007,0.0000,-0.0007
RAPa,Maharashtra,0.0007,0.0000,-0.0007
MEDP,Punjab,0.0007,0.0000,-0.0007
LS,Rajasthan,0.0007,0.0000,-0.0007
INC,Sikkim,0.0014,0.0006,-0.0007
SAP,"Tamil Nadu",0.0007,0.0000,-0.0007
JMM(U),"Tamil Nadu",0.0007,0.0000,-0.0007
JMBP,"Uttar Pradesh",0.0007,0.0000,-0.0007
ALHP,"Uttar Pradesh",0.0009,0.0003,-0.0007
BC,"Uttar Pradesh",0.0007,0.0000,-0.0007
BKSL,"Uttar Pradesh",0.0007,0.0000,-0.0007
SSD,"Uttar Pradesh",0.0007,0.0000,-0.0007
SWJP,"West Bengal",0.0010,0.0003,-0.0007
NSBP,"West Bengal",0.0007,0.0000,-0.0007
BKLJP,Uttarakhand,0.0007,0.0000,-0.0007
BRAVP,"NCT OF Delhi",0.0007,0.0000,-0.0007
NIP,Telangana,0.0010,0.0002,-0.0008
sps,"Andhra Pradesh",0.0008,0.0000,-0.0008
DABAP,"Andhra Pradesh",0.0015,0.0007,-0.0008
LB,Assam,0.0008,0.0000,-0.0008
AITC,Haryana,0.0008,0.0000,-0.0008
LPR,Haryana,0.0008,0.0000,-0.0008
SUCI,Haryana,0.0008,0.0000,-0.0008
AJKMP,"Jammu & Kashmir",0.0008,0.0000,-0.0008
BHBP,"Jammu & Kashmir",0.0008,0.0000,-0.0008
VJCP,Karnataka,0.0008,0.0000,-0.0008
AITC,Kerala,0.0008,0.0000,-0.0008
MBT,Maharashtra,0.0008,0.0000,-0.0008
BJP,Meghalaya,0.0185,0.0176,-0.0008
NOTA,Mizoram,0.0012,0.0004,-0.0008
ABSR,Punjab,0.0008,0.0000,-0.0008
NADP,Rajasthan,0.0008,0.0000,-0.0008
AAP,Rajasthan,0.0008,0.0000,-0.0008
NOTA,Tripura,0.0046,0.0038,-0.0008
AIMF,"Uttar Pradesh",0.0010,0.0002,-0.0008
NADP,"Uttar Pradesh",0.0008,0.0000,-0.0008
DND,"Uttar Pradesh",0.0008,0.0000,-0.0008
RtJP,"Uttar Pradesh",0.0008,0.0000,-0.0008
ABHM,"Uttar Pradesh",0.0008,0.0000,-0.0008
RrSP,"Uttar Pradesh",0.0008,0.0000,-0.0008
ANC,"Uttar Pradesh",0.0008,0.0000,-0.0008
PPI,"Uttar Pradesh",0.0008,0.0000,-0.0008
GaAP,"West Bengal",0.0008,0.0000,-0.0008
NLP,Jharkhand,0.0008,0.0000,-0.0008
MMM,Jharkhand,0.0008,0.0000,-0.0008
NCP,Telangana,0.0009,0.0000,-0.0009
RPS,"Andhra Pradesh",0.0009,0.0000,-0.0009
BJJD,Bihar,0.0009,0.0000,-0.0009
RBCP,Bihar,0.0009,0.0000,-0.0009
SHS,"Himachal Pradesh",0.0009,0.0000,-0.0009
ANC,Karnataka,0.0009,0.0000,-0.0009
BMUP,Karnataka,0.0010,0.0001,-0.0009
JND,"Madhya Pradesh",0.0009,0.0000,-0.0009
SWJP,"Madhya Pradesh",0.0009,0.0000,-0.0009
MNDP,Maharashtra,0.0010,0.0001,-0.0009
AVIRP,Rajasthan,0.0010,0.0001,-0.0009
LSP,"Tamil Nadu",0.0009,0.0000,-0.0009
RAC,"Uttar Pradesh",0.0009,0.0000,-0.0009
JSK,"Uttar Pradesh",0.0009,0.0000,-0.0009
SP(I),Jharkhand,0.0009,0.0000,-0.0009
RJM,Jharkhand,0.0009,0.0000,-0.0009
ABJS,Jharkhand,0.0009,0.0000,-0.0009
NOTA,Uttarakhand,0.0092,0.0083,-0.0009
IND,Chandigarh,0.0016,0.0008,-0.0009
CPI,"NCT OF Delhi",0.0009,0.0000,-0.0009
ICSP,Telangana,0.0010,0.0000,-0.0010
RND,Bihar,0.0010,0.0000,-0.0010
AAAP,Goa,0.0052,0.0042,-0.0010
RsAD,"Madhya Pradesh",0.0019,0.0009,-0.0010
BHSSP,"Madhya Pradesh",0.0010,0.0000,-0.0010
PRCP,Maharashtra,0.0027,0.0017,-0.0010
DBSP,Punjab,0.0010,0.0000,-0.0010
IKL,Punjab,0.0010,0.0000,-0.0010
MMKA,"Tamil Nadu",0.0016,0.0006,-0.0010
JMBP,Tripura,0.0010,0.0000,-0.0010
BJKD,"Uttar Pradesh",0.0012,0.0001,-0.0010
SP(I),"Uttar Pradesh",0.0014,0.0003,-0.0010
ssrd,"Uttar Pradesh",0.0014,0.0004,-0.0010
SUCI,"Uttar Pradesh",0.0010,0.0000,-0.0010
EKSP,"Uttar Pradesh",0.0010,0.0000,-0.0010
JSEP,"Uttar Pradesh",0.0013,0.0003,-0.0010
BSP(K),"Uttar Pradesh",0.0010,0.0000,-0.0010
MOP,"Uttar Pradesh",0.0010,0.0000,-0.0010
MaSP,Telangana,0.0011,0.0000,-0.0011
RLD,Telangana,0.0011,0.0000,-0.0011
GaAP,"Andhra Pradesh",0.0011,0.0000,-0.0011
ILP(AP),"Andhra Pradesh",0.0012,0.0002,-0.0011
AIMIM,"Andhra Pradesh",0.0011,0.0000,-0.0011
GaAP,"Jammu & Kashmir",0.0011,0.0000,-0.0011
SDPI,"Madhya Pradesh",0.0011,0.0000,-0.0011
lpi,Maharashtra,0.0011,0.0000,-0.0011
HiPPa,Maharashtra,0.0017,0.0006,-0.0011
BGTD,Punjab,0.0011,0.0000,-0.0011
BSP(A),Punjab,0.0021,0.0011,-0.0011
LD,Rajasthan,0.0011,0.0000,-0.0011
CPM,"Uttar Pradesh",0.0011,0.0000,-0.0011
DNP,"Uttar Pradesh",0.0011,0.0000,-0.0011
BaSaP,"Uttar Pradesh",0.0011,0.0000,-0.0011
JeSM,"West Bengal",0.0020,0.0010,-0.0011
ICSP,"Andhra Pradesh",0.0012,0.0000,-0.0012
NCP,"Arunachal Pradesh",0.0012,0.0000,-0.0012
LPSP,Bihar,0.0012,0.0000,-0.0012
RBC,Haryana,0.0012,0.0000,-0.0012
SDP,"Jammu & Kashmir",0.0012,0.0000,-0.0012
GGP,Maharashtra,0.0021,0.0009,-0.0012
JD(S),"Tamil Nadu",0.0012,0.0000,-0.0012
UCPI,"Tamil Nadu",0.0012,0.0000,-0.0012
BED,"Uttar Pradesh",0.0012,0.0000,-0.0012
STR,"Andhra Pradesh",0.0013,0.0000,-0.0013
BJPARTY,Bihar,0.0013,0.0000,-0.0013
PMSP,Bihar,0.0013,0.0000,-0.0013
AAAP,"Jammu & Kashmir",0.0013,0.0000,-0.0013
SP,"Jammu & Kashmir",0.0013,0.0000,-0.0013
SRP,Kerala,0.0013,0.0000,-0.0013
BMUP,"Madhya Pradesh",0.0069,0.0056,-0.0013
SSPD,Punjab,0.0013,0.0000,-0.0013
BMUP,Punjab,0.0022,0.0009,-0.0013
MEDP,Rajasthan,0.0013,0.0000,-0.0013
ABHM,"Tamil Nadu",0.0013,0.0000,-0.0013
RSMD,"Uttar Pradesh",0.0024,0.0011,-0.0013
SSAD,"Uttar Pradesh",0.0013,0.0000,-0.0013
KMBS,"Uttar Pradesh",0.0015,0.0003,-0.0013
LPSP,"Uttar Pradesh",0.0013,0.0000,-0.0013
CPM,Uttarakhand,0.0013,0.0000,-0.0013
CPI,Uttarakhand,0.0013,0.0000,-0.0013
CPI(ML)(L),Uttarakhand,0.0022,0.0009,-0.0013
RPI,Telangana,0.0017,0.0002,-0.0014
BCUF,Telangana,0.0014,0.0000,-0.0014
MBT,Telangana,0.0014,0.0000,-0.0014
RJJM,Bihar,0.0014,0.0000,-0.0014
RPI(A),Bihar,0.0031,0.0017,-0.0014
RSMD,"Madhya Pradesh",0.0014,0.0000,-0.0014
RPI(KH),Maharashtra,0.0014,0.0000,-0.0014
PG,Maharashtra,0.0014,0.0000,-0.0014
CPI,Meghalaya,0.0014,0.0000,-0.0014
ABHM,Rajasthan,0.0014,0.0000,-0.0014
RKSP,"Uttar Pradesh",0.0019,0.0006,-0.0014
SAP,Jharkhand,0.0014,0.0000,-0.0014
SHP,Telangana,0.0015,0.0000,-0.0015
KVD,Bihar,0.0015,0.0000,-0.0015
HVD,Bihar,0.0015,0.0000,-0.0015
RAHM,Bihar,0.0015,0.0000,-0.0015
SP,Haryana,0.0015,0.0000,-0.0015
CPI(ML)(L),Karnataka,0.0015,0.0000,-0.0015
JMBP,"Madhya Pradesh",0.0015,0.0000,-0.0015
AD,"Madhya Pradesh",0.0015,0.0000,-0.0015
JD(U),"Madhya Pradesh",0.0025,0.0010,-0.0015
AAAP,Manipur,0.0015,0.0000,-0.0015
JKNPP,Punjab,0.0015,0.0000,-0.0015
BRPP,"Uttar Pradesh",0.0015,0.0000,-0.0015
RaCP,"Uttar Pradesh",0.0015,0.0000,-0.0015
SUCI,Jharkhand,0.0015,0.0000,-0.0015
RPI(KH),"Andhra Pradesh",0.0019,0.0003,-0.0016
CPI,Gujarat,0.0026,0.0009,-0.0016
SP,"Himachal Pradesh",0.0016,0.0000,-0.0016
SamSP,"Madhya Pradesh",0.0032,0.0015,-0.0016
AMS,"Madhya Pradesh",0.0016,0.0000,-0.0016
LB,Maharashtra,0.0016,0.0000,-0.0016
RJVP,Rajasthan,0.0016,0.0000,-0.0016
SUCI,Tripura,0.0016,0.0000,-0.0016
GGP,"Uttar Pradesh",0.0023,0.0007,-0.0016
AKBJHP,Jharkhand,0.0016,0.0000,-0.0016
AAAP,Puducherry,0.0016,0.0000,-0.0016
BEMP,Bihar,0.0017,0.0000,-0.0017
BDBRAJP,Karnataka,0.0017,0.0000,-0.0017
IUML,"Madhya Pradesh",0.0017,0.0000,-0.0017
SP(I),Maharashtra,0.0017,0.0000,-0.0017
AAAP,Meghalaya,0.0017,0.0000,-0.0017
IND,Mizoram,0.0393,0.0376,-0.0017
CPI(ML)(L),"Tamil Nadu",0.0025,0.0009,-0.0017
CPI(ML)(L),Tripura,0.0017,0.0000,-0.0017
TPGC,Tripura,0.0017,0.0000,-0.0017
VIP,"Uttar Pradesh",0.0023,0.0006,-0.0017
INL,"Uttar Pradesh",0.0023,0.0006,-0.0017
JHAP,"West Bengal",0.0024,0.0007,-0.0017
RKSP,Jharkhand,0.0017,0.0000,-0.0017
AMB,Jharkhand,0.0031,0.0014,-0.0017
WPOI,"Andhra Pradesh",0.0018,0.0000,-0.0018
AITC,"Arunachal Pradesh",0.0018,0.0000,-0.0018
JMM,Assam,0.0018,0.0000,-0.0018
VIP,Bihar,0.0018,0.0000,-0.0018
PECP,Bihar,0.0018,0.0000,-0.0018
GGP,Bihar,0.0018,0.0000,-0.0018
BhSMP,Rajasthan,0.0018,0.0000,-0.0018
CPI(ML)(L),Rajasthan,0.0018,0.0000,-0.0018
SARP,"Uttar Pradesh",0.0018,0.0000,-0.0018
AAMJP,"Uttar Pradesh",0.0018,0.0000,-0.0018
LKJP,Bihar,0.0019,0.0000,-0.0019
CPI,Goa,0.0019,0.0000,-0.0019
CPI(ML)(L),Gujarat,0.0019,0.0000,-0.0019
SP(I),Nagaland,0.0019,0.0000,-0.0019
SP(I),Rajasthan,0.0019,0.0000,-0.0019
AAAP,Tripura,0.0019,0.0000,-0.0019
IUC,"West Bengal",0.0026,0.0007,-0.0019
BSP,Chandigarh,0.0031,0.0012,-0.0019
AITC,"NCT OF Delhi",0.0019,0.0000,-0.0019
IUML,Bihar,0.0020,0.0000,-0.0020
IND,Goa,0.0033,0.0012,-0.0020
SHS,Kerala,0.0020,0.0000,-0.0020
SAP,"Madhya Pradesh",0.0020,0.0000,-0.0020
SSKP,"Uttar Pradesh",0.0020,0.0000,-0.0020
ARPS,"Andhra Pradesh",0.0023,0.0003,-0.0021
rdsc,Assam,0.0021,0.0000,-0.0021
RSMD,Bihar,0.0021,0.0000,-0.0021
SaBP,Bihar,0.0031,0.0010,-0.0021
RJPK,"Uttar Pradesh",0.0021,0.0000,-0.0021
RJNP,"West Bengal",0.0035,0.0014,-0.0021
JVD,Jharkhand,0.0021,0.0000,-0.0021
SDP,"Andhra Pradesh",0.0022,0.0000,-0.0022
IND,Gujarat,0.1042,0.1020,-0.0022
ADSP,Gujarat,0.0022,0.0000,-0.0022
CPIM,"Uttar Pradesh",0.0026,0.0004,-0.0022
SWPI,"Uttar Pradesh",0.0022,0.0000,-0.0022
BJP,"Andaman & Nicobar Islands",0.0175,0.0153,-0.0022
RP(K),"Andhra Pradesh",0.0023,0.0000,-0.0023
PSS,Bihar,0.0028,0.0005,-0.0023
AITC,Goa,0.0023,0.0000,-0.0023
JD(U),Karnataka,0.0023,0.0000,-0.0023
CSM,"Madhya Pradesh",0.0023,0.0000,-0.0023
NPEP,"Madhya Pradesh",0.0023,0.0000,-0.0023
AIFB,Maharashtra,0.0023,0.0000,-0.0023
AAAP,Mizoram,0.0023,0.0000,-0.0023
NCP,Rajasthan,0.0023,0.0000,-0.0023
ARVP,"Uttar Pradesh",0.0023,0.0000,-0.0023
AAAP,"West Bengal",0.0023,0.0000,-0.0023
PDS,"West Bengal",0.0043,0.0020,-0.0023
JVM,"West Bengal",0.0023,0.0000,-0.0023
BJP,"Dadra & Nagar Haveli",0.0155,0.0133,-0.0023
NOTA,Puducherry,0.0043,0.0020,-0.0023
JPJD,Bihar,0.0053,0.0029,-0.0024
ABJS,Bihar,0.0030,0.0006,-0.0024
AIFB,"Madhya Pradesh",0.0029,0.0005,-0.0024
ARP,Maharashtra,0.0032,0.0007,-0.0024
RaJSP,"West Bengal",0.0063,0.0038,-0.0024
CPI,Puducherry,0.0024,0.0000,-0.0024
LD,Bihar,0.0025,0.0000,-0.0025
NOTA,"Jammu & Kashmir",0.0061,0.0035,-0.0025
ASP,"Uttar Pradesh",0.0045,0.0020,-0.0025
LD,"Uttar Pradesh",0.0054,0.0030,-0.0025
NBDP,"Uttar Pradesh",0.0025,0.0000,-0.0025
JPS,"Uttar Pradesh",0.0027,0.0001,-0.0025
HJP,Gujarat,0.0026,0.0000,-0.0026
RPI(A),Karnataka,0.0036,0.0011,-0.0026
CPI,Karnataka,0.0054,0.0028,-0.0026
MPS(T),Maharashtra,0.0026,0.0000,-0.0026
AITC,Maharashtra,0.0026,0.0000,-0.0026
RPI(A),"Uttar Pradesh",0.0028,0.0002,-0.0026
IND,Puducherry,0.0051,0.0025,-0.0026
JD(S),Maharashtra,0.0027,0.0000,-0.0027
MwSP,"Uttar Pradesh",0.0034,0.0007,-0.0027
S(J),"Uttar Pradesh",0.0027,0.0000,-0.0027
IND,"West Bengal",0.0910,0.0882,-0.0027
JMBP,Bihar,0.0028,0.0000,-0.0028
JKNPP,"Jammu & Kashmir",0.0084,0.0055,-0.0028
BSCP,"Uttar Pradesh",0.0061,0.0033,-0.0028
INC,"Daman & Diu",0.0073,0.0045,-0.0028
JaSPa,Telangana,0.0029,0.0000,-0.0029
BJP,"Daman & Diu",0.0090,0.0061,-0.0029
AIFB,Assam,0.0040,0.0009,-0.0030
APCP,Bihar,0.0030,0.0000,-0.0030
BNJD,Gujarat,0.0039,0.0009,-0.0030
CPI,Haryana,0.0042,0.0012,-0.0030
BMUP,Rajasthan,0.0076,0.0046,-0.0030
MaSP,"Andhra Pradesh",0.0031,0.0000,-0.0031
SUCI,Bihar,0.0031,0.0000,-0.0031
CPM,"Madhya Pradesh",0.0031,0.0000,-0.0031
WPOI,Maharashtra,0.0031,0.0000,-0.0031
SP,Rajasthan,0.0031,0.0000,-0.0031
HJP,Rajasthan,0.0031,0.0000,-0.0031
SP,"Tamil Nadu",0.0031,0.0000,-0.0031
BJP,Assam,1.0590,1.0558,-0.0032
PRSP,"Madhya Pradesh",0.0041,0.0008,-0.0033
ISSP,"Uttar Pradesh",0.0033,0.0000,-0.0033
SP,Karnataka,0.0034,0.0000,-0.0034
DFBL,"Tamil Nadu",0.0034,0.0000,-0.0034
SP,Uttarakhand,0.0034,0.0000,-0.0034
SUCI,Kerala,0.0035,0.0000,-0.0035
JD(U),Maharashtra,0.0035,0.0000,-0.0035
CPM,Punjab,0.0035,0.0000,-0.0035
CPI,Jharkhand,0.0150,0.0115,-0.0035
CPI,Punjab,0.0105,0.0069,-0.0036
CPI(ML)(L),"Uttar Pradesh",0.0073,0.0036,-0.0036
RPI(A),"West Bengal",0.0039,0.0003,-0.0036
SKLP,Bihar,0.0037,0.0000,-0.0037
CPI,"Madhya Pradesh",0.0186,0.0149,-0.0037
NOTA,Maharashtra,0.0833,0.0796,-0.0037
"BA S D",Rajasthan,0.0037,0.0000,-0.0037
BSP,"Tamil Nadu",0.0300,0.0263,-0.0037
MBCOI,"Uttar Pradesh",0.0037,0.0000,-0.0037
IUML,Jharkhand,0.0038,0.0000,-0.0038
NOTA,Meghalaya,0.0058,0.0018,-0.0040
AIFB,Jharkhand,0.0065,0.0026,-0.0040
CPM,Haryana,0.0041,0.0000,-0.0041
JMBP,Rajasthan,0.0042,0.0000,-0.0042
JD(U),Rajasthan,0.0042,0.0000,-0.0042
SDPI,"Tamil Nadu",0.0081,0.0039,-0.0042
CPI(ML)(L),"West Bengal",0.0067,0.0025,-0.0042
BSP,"NCT OF Delhi",0.0195,0.0153,-0.0042
SP,Assam,0.0047,0.0004,-0.0044
MD,"Uttar Pradesh",0.0044,0.0000,-0.0044
PMK,Puducherry,0.0044,0.0000,-0.0044
PPA,"Arunachal Pradesh",0.0090,0.0045,-0.0045
SUCI,Karnataka,0.0046,0.0000,-0.0046
CPI,Maharashtra,0.0107,0.0061,-0.0046
NCP,"Uttar Pradesh",0.0053,0.0007,-0.0046
BMUP,Jharkhand,0.0076,0.0029,-0.0047
BSP,Uttarakhand,0.0400,0.0353,-0.0047
SP,Gujarat,0.0048,0.0000,-0.0048
PMSP,"Uttar Pradesh",0.0062,0.0013,-0.0048
CPM,"Himachal Pradesh",0.0049,0.0000,-0.0049
BMUP,"West Bengal",0.0108,0.0060,-0.0049
RKSP,Bihar,0.0050,0.0000,-0.0050
jhspt,"Uttar Pradesh",0.0052,0.0002,-0.0050
pjdl,"Andhra Pradesh",0.0053,0.0000,-0.0053
JGP,Rajasthan,0.0053,0.0000,-0.0053
BSP,"Jammu & Kashmir",0.0104,0.0050,-0.0054
AAAP,Assam,0.0055,0.0000,-0.0055
BSP,Kerala,0.0137,0.0082,-0.0055
CPI,"Uttar Pradesh",0.0249,0.0194,-0.0055
WPOI,"West Bengal",0.0092,0.0038,-0.0055
BMUP,Gujarat,0.0090,0.0034,-0.0056
CPM,Gujarat,0.0056,0.0000,-0.0056
SPP,"Uttar Pradesh",0.0056,0.0000,-0.0056
IUML,"West Bengal",0.0057,0.0000,-0.0057
JDR,Bihar,0.0104,0.0045,-0.0059
NOTA,Jharkhand,0.0367,0.0308,-0.0059
ravp,Bihar,0.0075,0.0015,-0.0060
AITC,Rajasthan,0.0060,0.0000,-0.0060
CPI,Rajasthan,0.0136,0.0076,-0.0060
NAP,"Uttar Pradesh",0.0070,0.0009,-0.0060
IND,"Jammu & Kashmir",0.0430,0.0368,-0.0061
JPS,Bihar,0.0065,0.0003,-0.0062
BSP,Gujarat,0.0469,0.0406,-0.0063
SDF,Sikkim,0.0315,0.0252,-0.0063
KAP,Karnataka,0.0064,0.0000,-0.0064
CPM,Karnataka,0.0068,0.0000,-0.0068
IND,Uttarakhand,0.0146,0.0078,-0.0068
AMB,"West Bengal",0.0099,0.0030,-0.0069
RUC,"Uttar Pradesh",0.0103,0.0033,-0.0070
SUCI,Assam,0.0073,0.0000,-0.0073
SDPI,"West Bengal",0.0092,0.0019,-0.0073
BYS,Rajasthan,0.0074,0.0000,-0.0074
RADP,Jharkhand,0.0074,0.0000,-0.0074
"BA S D","Madhya Pradesh",0.0076,0.0000,-0.0076
RPI(A),Telangana,0.0078,0.0000,-0.0078
JDP,Jharkhand,0.0080,0.0000,-0.0080
CPI(ML)(L),Assam,0.0081,0.0000,-0.0081
AITC,Bihar,0.0090,0.0009,-0.0081
NCP,Karnataka,0.0082,0.0000,-0.0082
RSPK(B),Kerala,0.0083,0.0000,-0.0083
AITC,Assam,0.0205,0.0121,-0.0084
RP(K),Telangana,0.0088,0.0000,-0.0088
BVM,Bihar,0.0088,0.0000,-0.0088
NOTA,Karnataka,0.0496,0.0408,-0.0088
JD(U),"Uttar Pradesh",0.0103,0.0015,-0.0088
AINRC,Puducherry,0.0492,0.0404,-0.0088
AAAP,Telangana,0.0090,0.0000,-0.0090
TNMC,"Tamil Nadu",0.0094,0.0000,-0.0094
PPOI,"Andhra Pradesh",0.0139,0.0045,-0.0095
CPM,"Andhra Pradesh",0.0096,0.0000,-0.0096
NOTA,Rajasthan,0.0631,0.0533,-0.0097
JMM,"West Bengal",0.0118,0.0021,-0.0097
SP,"West Bengal",0.0099,0.0000,-0.0099
AITC,Manipur,0.0101,0.0000,-0.0101
AAAP,"Andhra Pradesh",0.0107,0.0000,-0.0107
SJP(R),Bihar,0.0108,0.0000,-0.0108
SP,Jharkhand,0.0110,0.0002,-0.0108
IND,"Andhra Pradesh",0.0512,0.0404,-0.0109
ABML(S),Telangana,0.0111,0.0001,-0.0110
NCP,Manipur,0.0119,0.0004,-0.0114
DMK,Puducherry,0.0116,0.0000,-0.0116
JDP,"West Bengal",0.0117,0.0000,-0.0117
AAAP,"Himachal Pradesh",0.0122,0.0000,-0.0122
SP,Maharashtra,0.0142,0.0020,-0.0122
CPM,Assam,0.0125,0.0000,-0.0125
BSP,"West Bengal",0.0486,0.0361,-0.0125
BJP,Goa,0.0840,0.0711,-0.0129
INC,"Dadra & Nagar Haveli",0.0143,0.0014,-0.0129
KEC(M),Kerala,0.0816,0.0686,-0.0130
WPOI,Kerala,0.0131,0.0000,-0.0131
CPM,Jharkhand,0.0131,0.0000,-0.0131
AAAP,Uttarakhand,0.0135,0.0000,-0.0135
RPI(A),Maharashtra,0.0138,0.0000,-0.0138
RPI,Maharashtra,0.0142,0.0000,-0.0142
GGP,"Madhya Pradesh",0.0326,0.0182,-0.0144
IND,Haryana,0.0368,0.0221,-0.0147
CPM,Rajasthan,0.0152,0.0000,-0.0152
WPOI,Telangana,0.0160,0.0000,-0.0160
BED,Bihar,0.0161,0.0000,-0.0161
CPI,Manipur,0.0380,0.0218,-0.0162
JD(U),Jharkhand,0.0166,0.0000,-0.0166
BJP,Punjab,0.2325,0.2158,-0.0167
PPOI,Telangana,0.0199,0.0031,-0.0168
AAAP,Jharkhand,0.0172,0.0000,-0.0172
BMUP,Bihar,0.0279,0.0103,-0.0175
SHS,Bihar,0.0284,0.0105,-0.0179
SP,Bihar,0.0189,0.0005,-0.0184
RPD,"Uttar Pradesh",0.0184,0.0000,-0.0184
AIUDF,"West Bengal",0.0184,0.0000,-0.0184
AAAP,Chandigarh,0.0209,0.0022,-0.0187
AITC,"Uttar Pradesh",0.0191,0.0000,-0.0191
BSP,"Andhra Pradesh",0.0330,0.0136,-0.0193
JD(U),Gujarat,0.0195,0.0000,-0.0195
INC,Telangana,0.9145,0.8950,-0.0196
NOTA,"Madhya Pradesh",0.0754,0.0555,-0.0198
CPM,Bihar,0.0204,0.0000,-0.0204
NOTA,"West Bengal",0.1099,0.0890,-0.0208
CPM,Telangana,0.0209,0.0000,-0.0209
MCO,Jharkhand,0.0212,0.0000,-0.0212
NOTA,Gujarat,0.0875,0.0653,-0.0222
NOTA,"Tamil Nadu",0.1119,0.0896,-0.0222
NOTA,Kerala,0.0405,0.0169,-0.0236
BMUP,"Uttar Pradesh",0.0296,0.0058,-0.0238
nuzp,Rajasthan,0.0240,0.0000,-0.0240
CPI,Telangana,0.0361,0.0120,-0.0241
INC,"Arunachal Pradesh",0.0473,0.0220,-0.0254
ADMK,Puducherry,0.0255,0.0000,-0.0255
BSP,Haryana,0.1013,0.0751,-0.0262
BMUP,Maharashtra,0.0408,0.0125,-0.0283
SP,"Madhya Pradesh",0.0426,0.0135,-0.0291
LSP,Telangana,0.0304,0.0000,-0.0304
JKN,"Jammu & Kashmir",0.0763,0.0456,-0.0306
JMM,Bihar,0.0364,0.0050,-0.0314
IND,Meghalaya,0.0347,0.0026,-0.0321
JKP,Jharkhand,0.0392,0.0057,-0.0335
CPI,Bihar,0.0795,0.0456,-0.0339
CPM,Maharashtra,0.0349,0.0000,-0.0349
VCK,"Tamil Nadu",0.1166,0.0814,-0.0351
IND,Telangana,0.1314,0.0955,-0.0359
AITC,Tripura,0.0375,0.0014,-0.0360
BSP,Telangana,0.0435,0.0074,-0.0361
BSP,Bihar,0.1473,0.1111,-0.0361
JaSPa,"Andhra Pradesh",0.0364,0.0000,-0.0364
AAAP,"Tamil Nadu",0.0390,0.0000,-0.0390
SDPI,Kerala,0.0527,0.0130,-0.0396
INC,Uttarakhand,0.2874,0.2476,-0.0398
INC,Mizoram,0.0405,0.0000,-0.0405
